backend,id,track,selection,group,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max,cf_sio_contact_A
mace,dft/FC/CF0.2_d2.3.extxyz:0,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:melt,144,0.6991271918689091,0.9101485664570098,1.8754509455954995,2.5795374950129166,3.3685541492066697,2.860644630308558,3.708718014974981,
mace,dft/FC/CF0.2_d2.3.extxyz:7,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:melt,144,0.6869350026433294,0.905280308008898,1.823298964907061,2.513374781045703,3.9009826995829577,2.657811202246338,4.41906286050764,
mace,dft/FC/CF0.2_d2.3.extxyz:14,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:melt,144,0.6132759037755522,0.8013018116863675,1.6918841110349856,2.0834482366198666,3.4993022695966625,2.2981424967708386,4.153210421642881,
mace,dft/FC/CF0.2_d2.3.extxyz:21,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:melt,144,0.6996710998818797,0.8982088114517298,1.7512349207709272,2.5260391202594854,3.1920730832722413,2.64107532573843,3.5100849089702324,
mace,dft/FC/CF0.2_d2.3.extxyz:28,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:melt,144,0.6503644140881972,0.8884611281924597,1.7334236741424762,2.7453050212720007,4.77883502303601,2.8187181979754734,4.926538335150043,
mace,dft/FC/CF0.2_d2.3.extxyz:35,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:melt,144,0.6498417509718287,0.8327629560181777,1.5973098203384117,2.3205085521835183,2.7885731176654938,2.5387540214889692,2.9395975013985067,
mace,dft/FC/CF0.2_d2.3.extxyz:42,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:melt,144,0.6908812484347953,0.9150807485905714,1.8505929768070326,2.6951038549002866,4.022210342173757,2.7902128779578583,4.206552370111697,
mace,dft/FC/CF0.2_d2.3.extxyz:49,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:melt,144,0.6261994439583192,0.8271501750914222,1.7505140697048558,2.277835613437873,2.8150007429580626,2.561261584799691,3.822011115486631,
mace,dft/FC/CF0.2_d2.3.extxyz:50,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:quench,144,0.48889542189942226,0.6512024250623176,1.3539059796352229,1.9696893367444774,2.5271358179602097,1.902206707567892,2.9690498267670447,
mace,dft/FC/CF0.2_d2.3.extxyz:63,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:quench,144,0.7076198856195798,0.9063619726166119,1.786665257704604,2.4921947297229563,3.370569977309912,2.653240697193728,4.0799478324403475,
mace,dft/FC/CF0.2_d2.3.extxyz:75,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:quench,144,0.5422293654480936,0.7072846803848781,1.4277341675402895,2.087693990773484,3.1240909246743804,2.184190139316877,3.126539765420771,
mace,dft/FC/CF0.2_d2.3.extxyz:88,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:quench,144,0.4538374859218308,0.6188329461897626,1.2653739716330847,1.8241027098177063,2.834756286736531,1.907079628407584,3.003758730537443,
mace,dft/FC/CF0.2_d2.3.extxyz:101,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:quench,144,0.6088072826807474,0.8082152105747509,1.6525224262936071,2.336864648680007,2.5570904800453036,2.4543469757755276,3.40232873794007,
mace,dft/FC/CF0.2_d2.3.extxyz:114,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:quench,144,0.43381424974481814,0.5735695450396541,1.1818775892969555,1.6871873654342264,2.4324602511546938,1.8447599947383728,2.780075921661997,
mace,dft/FC/CF0.2_d2.3.extxyz:126,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:quench,144,0.39487748371114084,0.514773541422288,1.0253766035236431,1.3263734733955261,1.893517475156493,1.4389641080402715,2.065037460381033,
mace,dft/FC/CF0.2_d2.3.extxyz:139,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:quench,144,0.525676231413143,0.6983926449420319,1.4533063748673556,1.9672548268471404,2.3905694956994243,2.249854648969789,2.790488804030101,
mace,dft/FC/CF0.2_d2.3.extxyz:140,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:anneal,144,0.3490462720309686,0.46375704789656,0.9418857155226381,1.4062938534205298,1.5270651247722944,1.403481373082557,1.8160159586781839,
mace,dft/FC/CF0.2_d2.3.extxyz:151,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:anneal,144,0.3774184222135555,0.48462495810654893,0.9402354570761264,1.3676828106805607,2.0118214970984276,1.421880395927285,2.184646703453854,
mace,dft/FC/CF0.2_d2.3.extxyz:161,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:anneal,144,0.36672332067884883,0.49159700224140573,0.9896444753567276,1.3500981191736494,2.175437624826305,1.611712476742833,2.201727646602177,
mace,dft/FC/CF0.2_d2.3.extxyz:172,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:anneal,144,0.3726799345397793,0.4941815111052541,1.04662562800574,1.2822300581474655,1.883794132757464,1.5027695444568943,2.157152519367409,
mace,dft/FC/CF0.2_d2.3.extxyz:182,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:anneal,144,0.3667220328979694,0.48162778395788164,1.052336370609913,1.4222608323471084,1.5929668523476128,1.5060521171362016,1.8516430741699117,
mace,dft/FC/CF0.2_d2.3.extxyz:193,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:anneal,144,0.33697662711331977,0.4543724367908139,0.9052311618000766,1.4239772043514498,2.297170839075122,1.4425693947231482,2.3562602908976507,
mace,dft/FC/CF0.2_d2.3.extxyz:203,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:anneal,144,0.36088265908321154,0.46889102908104474,0.9949401398318042,1.2448390387499944,1.5379937071434873,1.45270285664912,1.6565831162202171,
mace,dft/FC/CF0.2_d2.3.extxyz:214,FC,coverage,dft/FC/CF0.2_d2.3.extxyz:anneal,144,0.3349619432429774,0.4400892788985865,0.8991620444392413,1.2665407452990392,1.651225954164709,1.3336990953761667,1.656734111918088,
mace,dft/FC/CF0.2_d3.2.extxyz:0,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:melt,144,0.788816982411386,0.9994943292989649,2.045930774535326,2.569401032695963,3.8433282484147187,2.934037345330699,4.370532458103264,
mace,dft/FC/CF0.2_d3.2.extxyz:7,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:melt,144,0.8227793619515856,1.040506030945592,2.015943214064595,2.782779823927602,3.1239313498358023,3.0785154655466997,3.841478173220742,
mace,dft/FC/CF0.2_d3.2.extxyz:14,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:melt,144,0.8739990783389352,1.145796809531423,2.3679638411759854,3.4032755406364323,4.101861272161605,3.597716422023802,5.6155730654437885,
mace,dft/FC/CF0.2_d3.2.extxyz:21,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:melt,144,0.7619342772176613,1.0015711720319196,1.9856854126664956,2.7945404363388766,4.144190359507343,3.04768358904087,4.251373363895149,
mace,dft/FC/CF0.2_d3.2.extxyz:28,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:melt,144,0.8750420138900554,1.1677604683836016,2.427002622823342,3.5424968542953876,5.678503557338856,3.4451146214707777,6.043417644382058,
mace,dft/FC/CF0.2_d3.2.extxyz:35,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:melt,144,0.8440683254475103,1.097446513854815,2.188234225032385,3.290356020547567,3.7396396763994977,3.506825732450969,4.762313379371607,
mace,dft/FC/CF0.2_d3.2.extxyz:42,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:melt,144,0.8159507163648619,1.0601337475146948,1.988684022552935,3.034076949514268,4.094816996493152,3.176502248967691,4.451769479642924,
mace,dft/FC/CF0.2_d3.2.extxyz:49,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:melt,144,0.8498950716676275,1.100165109671874,2.240520058485125,2.7193769129093504,4.521075569535544,3.2463442115572936,4.79026080668626,
mace,dft/FC/CF0.2_d3.2.extxyz:50,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:quench,144,0.7635071238750254,0.9865277213961562,2.009040338236395,2.81119489748565,3.0749255681103556,3.1574379872060403,4.01503816137088,
mace,dft/FC/CF0.2_d3.2.extxyz:63,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:quench,144,0.6026990781414256,0.7978043643180677,1.591302822775918,2.624939503190293,2.9917391528142403,2.6281860106689092,3.3056395419693465,
mace,dft/FC/CF0.2_d3.2.extxyz:75,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:quench,144,0.3920391832949114,0.5075285534807887,1.0605613148560395,1.3923951538433739,1.9827948264110433,1.5398342270379388,1.9944298501857318,
mace,dft/FC/CF0.2_d3.2.extxyz:88,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:quench,144,0.5736034884811165,0.7568622369041893,1.436657015502018,2.497040850031519,2.883240091324394,2.506684583519959,3.345107244623089,
mace,dft/FC/CF0.2_d3.2.extxyz:101,FC,coverage,dft/FC/CF0.2_d3.2.extxyz:quench,144,0.6773138718952751,0.8808632865844477,1.8598451276228403,2.3974133131544124,3.264315669061131,2.7540936197226604,3.644296954120678,
