backend,id,kind,case,status,rotation_energy_error_eV,rotation_force_max_eV_A,translation_energy_error_eV,translation_force_max_eV_A,permutation_energy_error_eV,permutation_force_max_eV_A,reference_force_scale_eV_A,pair,distance_A,reference,energy_eV,radial_force_eV_A,net_force_eV_A,fd_steps_A,fd_force_errors_eV_A
mace,symmetry:dft/FC/CF0.2_d2.3.extxyz:0,symmetry,dft/FC/CF0.2_d2.3.extxyz:0,ok,0.0,1.0036416142611415e-13,0.0,3.9246383920499284e-14,6.821210263296962e-13,8.881784197001252e-15,11.574837283928176,,,,,,,,
mace,symmetry:dft/etch/trj_CF2_30eV.extxyz:0,symmetry,dft/etch/trj_CF2_30eV.extxyz:0,ok,0.0,5.90361093344427e-14,0.0,8.837375276016246e-14,0.0,4.884981308350689e-15,4.869336500288885,,,,,,,,
mace,symmetry:dft/mqa/mqa_Si.extxyz:0,symmetry,dft/mqa/mqa_Si.extxyz:0,ok,5.684341886080802e-14,1.8346435481930712e-14,5.684341886080802e-14,2.4202861936828413e-14,1.7053025658242404e-13,1.887379141862766e-15,1.1074092623757763,,,,,,,,
mace,symmetry:dft/qsd/qsd_data.extxyz:13,symmetry,dft/qsd/qsd_data.extxyz:13,ok,0.0,4.9911463850804694e-14,0.0,9.059419880941277e-14,0.0,4.773959005888173e-15,6.930880768986977,,,,,,,,
mace,pair:C-C:0.5,pair,,ok,,,,,,,,C-C,0.5,"none; qualitative diagnostic, not chemical accuracy",38.54120954978332,185.47608287733408,0.0,,
mace,pair:C-C:0.65,pair,,ok,,,,,,,,C-C,0.65,"none; qualitative diagnostic, not chemical accuracy",18.84527977103528,121.98791449582194,0.0,,
mace,pair:C-C:0.8,pair,,ok,,,,,,,,C-C,0.8,"none; qualitative diagnostic, not chemical accuracy",3.6417695964868897,90.5324942928507,0.0,"[0.001, 0.0005]","[0.0015731232640945336, 0.000393309676383069]"
mace,pair:C-C:1,pair,,ok,,,,,,,,C-C,1.0,"none; qualitative diagnostic, not chemical accuracy",-7.0361575429791685,25.37684734311537,0.0,,
mace,pair:C-C:1.2,pair,,ok,,,,,,,,C-C,1.2,"none; qualitative diagnostic, not chemical accuracy",-9.832064188525479,4.441099894842103,0.0,,
mace,pair:C-C:1.5,pair,,ok,,,,,,,,C-C,1.5,"none; qualitative diagnostic, not chemical accuracy",-9.00267106673375,-6.729982819924801,0.0,"[0.001, 0.0005]","[2.014814519046837e-05, 5.0370159536683445e-06]"
mace,pair:C-C:2,pair,,ok,,,,,,,,C-C,2.0,"none; qualitative diagnostic, not chemical accuracy",-5.449028141668065,-7.387878479308081,0.0,,
mace,pair:C-C:2.5,pair,,ok,,,,,,,,C-C,2.5,"none; qualitative diagnostic, not chemical accuracy",-3.134731169251544,-1.6158506389867764,0.0,,
mace,pair:C-C:3,pair,,ok,,,,,,,,C-C,3.0,"none; qualitative diagnostic, not chemical accuracy",-2.7901083490311995,-0.269896974160268,0.0,"[0.001, 0.0005]","[5.55866551177342e-07, 1.3896692524495435e-07]"
mace,pair:C-C:4,pair,,ok,,,,,,,,C-C,4.0,"none; qualitative diagnostic, not chemical accuracy",-2.6123671471142793,-0.13434538836408966,0.0,,
mace,pair:C-C:6,pair,,ok,,,,,,,,C-C,6.0,"none; qualitative diagnostic, not chemical accuracy",-2.52347014,0.0,0.0,,
mace,pair:C-F:0.5,pair,,ok,,,,,,,,C-F,0.5,"none; qualitative diagnostic, not chemical accuracy",65.02896308670007,399.03325371082485,0.0,,
mace,pair:C-F:0.65,pair,,ok,,,,,,,,C-F,0.65,"none; qualitative diagnostic, not chemical accuracy",28.760135545139427,146.8378621699484,0.0,,
mace,pair:C-F:0.8,pair,,ok,,,,,,,,C-F,0.8,"none; qualitative diagnostic, not chemical accuracy",8.088228730106305,98.78800156351649,0.0,"[0.001, 0.0005]","[0.0004970138854218931, 0.0001242559298049173]"
mace,pair:C-F:1,pair,,ok,,,,,,,,C-F,1.0,"none; qualitative diagnostic, not chemical accuracy",-3.5346335353144616,32.32408821888555,0.0,,
mace,pair:C-F:1.2,pair,,ok,,,,,,,,C-F,1.2,"none; qualitative diagnostic, not chemical accuracy",-7.138440379391328,6.263359092135272,0.0,,
mace,pair:C-F:1.5,pair,,ok,,,,,,,,C-F,1.5,"none; qualitative diagnostic, not chemical accuracy",-6.699921988637349,-5.352683002707128,0.0,"[0.001, 0.0005]","[1.646982199687841e-05, 4.117452203189487e-06]"
mace,pair:C-F:2,pair,,ok,,,,,,,,C-F,2.0,"none; qualitative diagnostic, not chemical accuracy",-3.8301701067242244,-5.020752900565232,0.0,,
mace,pair:C-F:2.5,pair,,ok,,,,,,,,C-F,2.5,"none; qualitative diagnostic, not chemical accuracy",-2.4789281680697055,-1.0051148552107159,0.0,,
mace,pair:C-F:3,pair,,ok,,,,,,,,C-F,3.0,"none; qualitative diagnostic, not chemical accuracy",-2.174659796376517,-0.4330033321490979,0.0,"[0.001, 0.0005]","[5.697090343925737e-08, 1.424308215813852e-08]"
