backend,track,frames,source_groups,atoms,component_mae,component_rmse,component_p95,component_p99,component_max,vector_p95,vector_max,raw_energy_mae_meV_atom
mace,FC,96,12,13824,0.5688232987981275,0.7871056364961426,1.625714143022373,2.51157684832475,7.330985092588278,2.6022954246425014,9.38202547306287,90.19947285454789
mace,etch,64,2,9601,0.17731136588540097,0.28636992149219764,0.6005904977615313,1.0850332924082422,4.1218411907139085,0.9999246310079742,4.13871207531386,11.177984435642003
mace,mqa,24,3,1816,0.20572915630396324,0.32717564871126686,0.7525754553227174,1.1984498603103286,2.3445407462064445,1.2305087475440262,3.0405966025890616,50.29149048237835
mace,qsd,249,24,24297,10.165975193774436,153.35791321513855,2.2115807550647792,52.15202638331759,7469.883527089529,5.054041764684712,8589.639868938144,1638.9120837399305
nequip,FC,96,12,13824,0.8368436139502005,1.115140905921549,2.3288230180137144,3.3283433034082615,6.725583539979013,3.5231480874454006,7.060715285666517,250.66898637942666
nequip,etch,64,2,9601,0.23253423876730178,0.34136824754261347,0.7079260675687218,1.1975649868468798,3.7591573416400546,1.1526416847886016,3.816181513141447,26.830340833616397
nequip,mqa,24,3,1816,0.30739156180825933,0.4396533766728361,0.9416337680686716,1.4686589397152914,3.1402711024929943,1.5105065451897308,3.4960105644497657,77.3547344939856
nequip,qsd,249,24,24297,8.962396488973598,286.76366737018725,1.2210187938496775,14.569120994801592,22628.738630560274,2.4278329821150644,26113.1540098329,740.6657012803269
deepmd,FC,96,12,13824,0.24029464561118666,0.3273341993923386,0.6883885384041336,1.0114415674329382,2.3124520721503075,1.063505311085924,2.7749945366742015,23.99156721532725
deepmd,etch,64,2,9601,0.12681916034805465,0.20329385199383343,0.4149904065528553,0.7526189003457294,2.994958797870636,0.6774687299693296,3.0139854493002574,8.539513365215258
deepmd,mqa,24,3,1816,0.10514129751214621,0.15245805685379263,0.3297302817726621,0.5064604859891115,1.005225562221825,0.5266062684828194,1.040107117988051,4.893171858797569
deepmd,qsd,249,24,24297,23.673629094228442,517.1439796897841,4.753289962965608,163.94888175870852,51970.178142146324,11.779504643385362,53664.3673991638,2591.3722556352486
