backend,id,track,selection,group,atom_index,element,vector_error_eV_A,component_max_eV_A,nearest_distance_A,cf_sio_contact_A,ref_force_norm_eV_A
mace,dft/qsd/qsd_data.extxyz:485,qsd,coverage,CF3_20eV_4_98_F_F,11,F,8589.639868938144,7469.883527089529,0.22799671598512103,1.5846581323742983,13146.178143974406
mace,dft/qsd/qsd_data.extxyz:1242,qsd,coverage,CF_30eV_18_12_F_F,10,F,8558.710548214005,7419.51950492702,0.22799671598512256,1.1728677049437417,13087.676357886428
mace,dft/qsd/qsd_data.extxyz:531,qsd,coverage,CF3_30eV_9_36_F_F,24,F,8552.988310372402,7447.420204677865,0.22799671598512125,1.2595609813740645,13128.756034906111
mace,dft/qsd/qsd_data.extxyz:485,qsd,coverage,CF3_20eV_4_98_F_F,9,F,8505.498938575292,7397.427248783601,0.22799671598512103,1.5846581323742983,13139.830810893927
mace,dft/qsd/qsd_data.extxyz:1242,qsd,coverage,CF_30eV_18_12_F_F,6,F,8464.46787292116,7330.869625977916,0.22799671598512256,1.1728677049437417,13129.019998209023
mace,dft/qsd/qsd_data.extxyz:531,qsd,coverage,CF3_30eV_9_36_F_F,8,F,8428.051675110564,7342.994291900564,0.22799671598512125,1.2595609813740645,13116.405258759598
mace,dft/qsd/qsd_data.extxyz:1331,qsd,coverage,CF_30eV_18_3_O_F,6,F,6428.748077730479,5562.054301296881,0.2459980520248069,0.2459980520248069,9559.222477880861
mace,dft/qsd/qsd_data.extxyz:580,qsd,coverage,CF3_30eV_9_9_O_F,11,F,6427.856606013377,5572.022821360793,0.2459980520248069,0.2459980520248069,9565.370771530066
mace,dft/qsd/qsd_data.extxyz:1331,qsd,coverage,CF_30eV_18_3_O_F,56,O,6336.311631137653,5469.745034546806,0.2459980520248069,0.2459980520248069,9575.588596455544
mace,dft/qsd/qsd_data.extxyz:580,qsd,coverage,CF3_30eV_9_9_O_F,12,O,6322.431988357054,5480.523918158011,0.2459980520248069,0.2459980520248069,9569.244316391734
mace,dft/qsd/qsd_data.extxyz:495,qsd,coverage,CF3_20eV_4_98_O_F,11,F,6321.9508905276225,5469.644161509545,0.24599805202480998,0.24599805202480998,9541.431188826153
mace,dft/qsd/qsd_data.extxyz:495,qsd,coverage,CF3_20eV_4_98_O_F,55,O,6303.693681291597,5480.967969876352,0.24599805202480998,0.24599805202480998,9572.328487441599
mace,dft/qsd/qsd_data.extxyz:287,qsd,coverage,CF3_10eV_19_68_O_C,0,C,4176.768421391017,3621.1739679979746,0.14200380417439368,0.14200380417439368,16920.99801824394
mace,dft/qsd/qsd_data.extxyz:455,qsd,coverage,CF3_20eV_4_78_O_C,53,O,4166.4219487417,3611.5502640660216,0.14200380417439765,0.14200380417439765,16952.567675157425
mace,dft/qsd/qsd_data.extxyz:1325,qsd,coverage,CF_30eV_18_3_O_C,56,O,4163.815114417281,3616.648128439241,0.14200380417439765,0.14200380417439765,16962.363819786486
mace,dft/qsd/qsd_data.extxyz:537,qsd,coverage,CF3_30eV_9_36_O_C,57,O,4163.797767964275,3612.088327336065,0.14200380417439676,0.14200380417439676,16962.88182976534
mace,dft/qsd/qsd_data.extxyz:1325,qsd,coverage,CF_30eV_18_3_O_C,2,C,4161.5107351182605,3617.3218149764252,0.14200380417439765,0.14200380417439765,16927.629267463693
mace,dft/qsd/qsd_data.extxyz:537,qsd,coverage,CF3_30eV_9_36_O_C,1,C,4161.216105701167,3633.773742125599,0.14200380417439676,0.14200380417439676,16927.231580034142
mace,dft/qsd/qsd_data.extxyz:455,qsd,coverage,CF3_20eV_4_78_O_C,0,C,4161.209362849903,3597.0233493670767,0.14200380417439765,0.14200380417439765,16932.072149019194
mace,dft/qsd/qsd_data.extxyz:484,qsd,coverage,CF3_20eV_4_98_F_F,11,F,4156.235944910038,3617.478362485605,0.3419994040930478,1.5846581323742983,5186.9474828431485
mace,dft/qsd/qsd_data.extxyz:287,qsd,coverage,CF3_10eV_19_68_O_C,55,O,4141.440604785481,3583.2899062193374,0.14200380417439368,0.14200380417439368,16952.116011186696
mace,dft/qsd/qsd_data.extxyz:1241,qsd,coverage,CF_30eV_18_12_F_F,10,F,4098.733841275212,3555.382383924407,0.34199940409304924,1.1728677049437417,5160.104072387678
mace,dft/qsd/qsd_data.extxyz:967,qsd,coverage,CF_10eV_4_98_F_F,22,F,4084.5500350230577,3569.3962091878475,0.34199940409304797,1.2757015281404969,5184.242216858611
mace,dft/qsd/qsd_data.extxyz:484,qsd,coverage,CF3_20eV_4_98_F_F,9,F,4062.292924971288,3541.9516377520945,0.3419994040930478,1.5846581323742983,5180.569069106722
mace,dft/qsd/qsd_data.extxyz:314,qsd,coverage,CF3_10eV_19_84_F_F,7,F,4034.718661549553,3496.4022409068284,0.34199940409304797,1.5883613265563985,5182.683166911945
mace,dft/qsd/qsd_data.extxyz:1241,qsd,coverage,CF_30eV_18_12_F_F,6,F,4010.804569841361,3468.540209033815,0.34199940409304924,1.1728677049437417,5200.558566285034
