step,time_fs,temperature_K,potential_eV,kinetic_eV,total_eV,max_force_eV_A
0,0.0,300.0000000000001,-43.362051010131836,0.3102238921398197,-43.05182711799202,2.723540167477285e-06
1,0.5,299.71622180437674,-43.361755311489105,0.3099304428853174,-43.05182486860379,0.06180867425790557
2,1.0,298.8665719828857,-43.36087566614151,0.3090518373033879,-43.051823828838124,0.1236245611427362
3,1.5,297.45624471739774,-43.35941803455353,0.30759344659175264,-43.051824587961775,0.18534661829704152
4,2.0,295.4938629618129,-43.35738855600357,0.3055641875714803,-43.051824368432094,0.2468874299141137
5,2.5,292.99142091070047,-43.354798913002014,0.3029764631949788,-43.051822449807034,0.3081276433392252
6,3.0,289.9642270505486,-43.351667165756226,0.2998461036564518,-43.051821062099776,0.36897218049677244
7,3.5,286.43077308438353,-43.34801250696182,0.2961922308495165,-43.05182027611231,0.4293149169446549
8,4.0,282.4126357072175,-43.34385532140732,0.2920371567951934,-43.05181816461212,0.48905741247491846
9,4.5,277.934261781758,-43.339222729206085,0.28740616149648157,-43.0518165677096,0.5481001193393981
10,5.0,273.02260543547334,-43.33414179086685,0.2823271176678227,-43.051814673199026,0.6063559731678562
11,5.5,267.7066509915928,-43.328642308712006,0.27682999740776076,-43.051812311304246,0.6637722103188797
12,6.0,262.0170671395387,-43.322757601737976,0.2709465145836271,-43.05181108715435,0.7202660756090555
13,6.5,255.98611931236098,-43.31651812791824,0.26471003422282957,-43.05180809369541,0.7757763416877466
14,7.0,249.64803229383642,-43.30996215343475,0.25815594747747106,-43.051806205957284,0.8301482421862607
15,7.5,243.0391807547846,-43.303125619888306,0.25132186865407474,-43.05180375123423,0.8832437431951017
16,8.0,236.19788497953348,-43.296048521995544,0.24424742397848107,-43.051801098017066,0.9349191318178861
17,8.5,229.16414777679273,-43.28877240419388,0.23697397954073812,-43.05179842465314,0.9850327239328708
18,9.0,221.97940131880904,-43.281340301036835,0.2295443795066265,-43.05179592153021,1.0334902726312476
19,9.5,214.68616067318393,-43.27379536628723,0.222002587841966,-43.05179277844527,1.080171296791742
20,10.0,207.3276166388439,-43.266182601451874,0.21439326727258193,-43.05178933417929,1.1249422090302001
21,10.5,199.94730315401696,-43.25854903459549,0.20676143535766525,-43.05178759923783,1.167661763071959
22,11.0,192.58865714560602,-43.250935673713684,0.19915200933897062,-43.05178366437471,1.208202947819391
23,11.5,185.29466665885357,-43.243391036987305,0.19160944227886675,-43.05178159470844,1.2464422749519428
24,12.0,178.10758988692578,-43.23595601320267,0.18417743251454963,-43.051778580688115,1.282286920203182
25,12.5,171.0685796395259,-43.22867441177368,0.1768985353286814,-43.051775876445,1.3156262672534658
26,13.0,164.21732041196228,-43.221588015556335,0.16981378764990263,-43.051774227906435,1.3463713777823998
27,13.5,157.59171729553063,-43.214733719825745,0.16296238636139213,-43.05177133346435,1.3744310060315483
28,14.0,151.22755275233166,-43.20815122127533,0.15638133337869406,-43.05176988789663,1.39972167999018
29,14.5,145.15821179427317,-43.201872408390045,0.15010515146291897,-43.05176725692713,1.422167852113863
30,15.0,139.41436937098027,-43.19593071937561,0.1441655609549465,-43.051765158420665,1.4417224374728597
31,15.5,134.02373907920665,-43.190355241298676,0.13859121992094378,-43.05176402137773,1.4583413868070345
32,16.0,129.01093498477053,-43.185170114040375,0.13340758126524244,-43.05176253277513,1.4719794059609084
33,16.5,124.3973097776646,-43.180398762226105,0.12863672536983317,-43.051762036856275,1.4826130921124119
34,17.0,120.20079975697789,-43.1760578751564,0.12429719979642921,-43.05176067535997,1.490210066609396
35,17.5,116.43581252407319,-43.17216360569,0.1204039031522678,-43.05175970253774,1.4947681008706994
36,18.0,113.11317189169603,-43.1687273979187,0.11696802812174129,-43.05175936979696,1.4962841541440102
37,18.5,110.24010669567042,-43.16575622558594,0.11399704989679955,-43.051759175689135,1.4947621168185308
38,19.0,107.82026112009828,-43.16325378417969,0.11149473685402853,-43.05175904732566,1.490228718926875
39,19.5,105.8536963276817,-43.161220610141754,0.10946115224053317,-43.05175945790122,1.4827095081350838
40,20.0,104.33696957630522,-43.15965312719345,0.1078927359867845,-43.05176039120666,1.4722542282724498
41,20.5,103.26324503666018,-43.158543050289154,0.10678241930086878,-43.051760630988284,1.4589081654826097
42,21.0,102.62242131724653,-43.15788125991821,0.10611975653949539,-43.05176150337872,1.4427432545557641
43,21.5,102.40133461337349,-43.15765339136124,0.10589113528024252,-43.05176225608099,1.423831245319279
44,22.0,102.58390116978143,-43.15784353017807,0.10607992363925396,-43.05176360653881,1.4022458140077985
45,22.5,103.15118814711906,-43.158431351184845,0.10666654355282035,-43.051764807632026,1.3780745845263438
46,23.0,104.08159091670109,-43.159394443035126,0.10762865411427837,-43.05176578892085,1.3514176006646368
47,23.5,105.35113005623538,-43.160709500312805,0.10894145869124558,-43.05176804162156,1.3223610902635536
48,24.0,106.93377276137687,-43.162347972393036,0.11057803729076454,-43.05176993510227,1.2910205489243876
49,24.5,108.80172020545041,-43.16428154706955,0.1125096437121416,-43.051771903357405,1.2575008413091924
50,25.0,110.92575153905207,-43.16648006439209,0.11470606126993108,-43.05177400312216,1.2219588813441105
51,25.5,113.27559562658851,-43.16891169548035,0.11713598719912206,-43.05177570828123,1.184540594369019
52,26.0,115.82008485299554,-43.17154544591904,0.11976719170353481,-43.0517782542155,1.1453206130557303
53,26.5,118.52739230206228,-43.17434585094452,0.12256676321709685,-43.051779087727425,1.1044386914106756
54,27.0,121.36537142988878,-43.17728400230408,0.12550145965324988,-43.05178254265083,1.07095364813959
55,27.5,124.30185711215755,-43.18032109737396,0.12853801971180412,-43.05178307766216,1.0466190740230532
56,28.0,127.30494832031711,-43.183429539203644,0.13164345518862455,-43.05178608401502,1.0210522001978823
57,28.5,130.34325725966448,-43.186573803424835,0.13478530860424973,-43.051788494820585,0.9943206969679743
