step,time_fs,potential_eV,kinetic_eV,total_eV,carbon_z_A,carbon_vz_A_fs,carbon_min_original_substrate_distance_A,top_clearance_A
0,0.0,-1137.0903938859701,30.000000006042555,-1107.0903938799277,26.74,-0.1075938314432751,5.24489275390832,73.26
1,0.25,-1137.097033828497,30.006654930966867,-1107.0903788975302,26.713100941334556,-0.10759862179751718,5.229553876733415,73.28689846199444
2,0.5,-1137.1152903735638,30.024880845070342,-1107.0904095284934,26.68620068910124,-0.10760337200567748,5.214308880536572,73.3137969371276
3,0.75,-1137.1449664831161,30.054555849351054,-1107.090410633765,26.659299255331717,-0.10760806475265708,5.199158790583724,73.34069543145004
4,1.0,-1137.1858995854855,30.095481047339796,-1107.0904185381457,26.632396656724914,-0.1076126770801185,5.184104630316965,73.3675939526028
5,1.25,-1137.2378258407116,30.147380666571458,-1107.09044517414,26.605492916791658,-0.1076171713342429,5.169147426594303,73.39449250915412
6,1.5,-1137.3003810346127,30.209907846319183,-1107.0904731882936,26.578588071057794,-0.10762150643171257,5.154288209051714,73.42139111018363
7,1.75,-1137.373165026307,30.282652995098523,-1107.0905120312086,26.5516821635758,-0.10762566506340981,5.1395280028124075,73.44828976607883
8,2.0,-1137.455687224865,30.36515099489864,-1107.0905362299663,26.52477523852609,-0.10762966857971802,5.124867822556991,73.47518848873881
9,2.25,-1137.547449350357,30.45688456753434,-1107.0905647828226,26.497867329285942,-0.10763357392579775,5.110308662440765,73.50208729210425
10,2.5,-1137.647902160883,30.5572839749165,-1107.0906181859664,26.47095845156319,-0.10763746551621481,5.0958514831600485,73.5289861919608
11,2.75,-1137.7563839107752,30.66573218644949,-1107.0906517243257,26.444048596527836,-0.10764144412360763,5.081497216539149,73.55588519961883
12,3.0,-1137.8722625523806,30.781570891653622,-1107.0906916607269,26.417137729501388,-0.10764560550583893,5.067246753744033,73.58278432265243
13,3.25,-1137.9948412626982,30.90410378111258,-1107.0907374815856,26.390225793774917,-0.10765002146085809,5.053100931561514,73.60968356757313
14,3.5,-1138.1233883202076,31.03259395779259,-1107.090794362415,26.36331271877096,-0.10765472181247929,5.039060534738222,73.6365829401322
15,3.75,-1138.2570988684893,31.16626955655121,-1107.090829311938,26.336398432868677,-0.10765967843760607,5.025126297937424,73.6634824459313
16,4.0,-1138.3952291756868,31.30433368312907,-1107.0908954925578,26.309482879552156,-0.10766481027088774,5.011298920701043,73.69038209126039
17,4.25,-1138.536914408207,31.44597169117816,-1107.0909427170288,26.282566027733232,-0.10767001325237406,4.997579069559619,73.7172818828656
18,4.5,-1138.6813607215881,31.590367074532402,-1107.0909936470557,26.25564787292597,-0.10767520064525836,4.9839673804756774,73.74418182947124
19,4.75,-1138.8277464210987,31.73670806381959,-1107.091038357279,26.2287284274106,-0.1076803318776015,4.970464457044641,73.77108194519248
20,5.0,-1138.9752922058105,31.884193319036832,-1107.0910988867738,26.201807706987168,-0.10768541327865196,4.957070865222812,73.79798224314978
21,5.25,-1139.1231758594513,32.03203593016147,-1107.0911399292897,26.174885720771275,-0.10769048209151413,4.943787126724905,73.82488274132339
22,5.5,-1139.2706455886364,32.179459458977334,-1107.091186129659,26.14796246594141,-0.10769557325352863,4.930613716331327,73.85178345677403
23,5.75,-1139.4169370085,32.325704096120845,-1107.0912329123792,26.12103793414451,-0.10770069981448926,4.917551064038674,73.87868439877566
24,6.0,-1139.5613186061382,32.47004151679695,-1107.0912770893412,26.094112116034168,-0.10770585799179462,4.904599553037679,73.90558556884936
25,6.25,-1139.7031094282866,32.61178707095388,-1107.0913223573327,26.067185005148612,-0.10771102805048946,4.891759513925466,73.93248696630204
26,6.5,-1139.841654598713,32.7502927530307,-1107.0913618456823,26.040256602008924,-0.1077161776395365,4.8790312167806915,73.9593885952202
27,6.75,-1139.976340353489,32.884941003301435,-1107.0913993501874,26.013326916328843,-0.10772126201799409,4.866414890679027,73.98629014788898
28,7.0,-1140.106577217579,33.015159823795436,-1107.0914173937836,25.986395970999926,-0.10772622046708648,4.8539107166473885,74.01318940538562
29,7.25,-1140.2318893373013,33.14043106734988,-1107.0914582699513,25.9594638060953,-0.10773098258693281,4.841518821120396,74.04008852914265
30,7.5,-1140.3517629802227,33.26029177437996,-1107.0914712058427,25.93253047970646,-0.10773548727646406,4.829239276407455,74.06698753024246
31,7.75,-1140.465833067894,33.37433054096288,-1107.0915025269312,25.905596062457068,-0.10773969475882966,4.817072086264111,74.09388643751313
32,8.0,-1140.5737100988626,33.48218629854055,-1107.0915238003222,25.878660632327048,-0.10774358317133827,4.805017187390196,74.12078529116576
33,8.25,-1140.6750932782888,33.58355433131988,-1107.091538946969,25.851724270871397,-0.10774714485979861,4.793074458170263,74.1476841442717
34,8.5,-1140.769736841321,33.67818304365319,-1107.0915537976678,25.824787059897147,-0.10775038425018556,4.781243721602397,74.17458305902805
35,8.75,-1140.8574285507202,33.76587315933795,-1107.0915553913824,25.797849078746303,-0.10775331693044658,4.76952475926858,74.20148210401288
36,9.0,-1140.938041061163,33.84647837792106,-1107.0915626832418,25.770910401431923,-0.1077559716317325,4.757917323062307,74.22838135070891
37,9.25,-1141.0114700198174,33.919904907075505,-1107.0915651127418,25.743971092930437,-0.1077583889211262,4.746421147932271,74.25528086688247
38,9.5,-1141.0776799470186,33.98611585458084,-1107.0915640924377,25.71703120697136,-0.10776062055628856,4.735035962650919,74.28218070891737
39,9.75,-1141.1366991847754,34.04513620876234,-1107.091562976013,25.69009078265229,-0.10776273111732454,4.723761507151685,74.30908091778704
