step,time_fs,potential_eV,kinetic_eV,total_eV,projectile_min_substrate_distance_A,carbon_z_A
0,0.0,-1137.0903914272785,30.0,-1107.0903914272785,4.268313016880698,26.74
1,0.25,-1137.0970320403576,30.006654924852256,-1107.0903771155054,4.249424962815899,26.71310094133913
2,0.5,-1137.1152920424938,30.024880839252607,-1107.0904112032413,4.230573002327162,26.68620068911048
3,0.75,-1137.1449654996395,30.054555844266986,-1107.0904096553725,4.211758481317477,26.659299255345246
4,1.0,-1137.1858997046947,30.095481043581668,-1107.090418661113,4.192982927849525,26.63239665674292
5,1.25,-1137.2378282248974,30.147380664799254,-1107.090447560098,4.174248055085847,26.60549291681423
6,1.5,-1137.3003814220428,30.20990784709549,-1107.0904735749473,4.155555759627992,26.578588071084376
7,1.75,-1137.3731658756733,30.28265299675285,-1107.0905128789204,4.136908110872543,26.551682163606202
8,2.0,-1137.4556817412376,30.36515099621669,-1107.090530745021,4.118307347716407,26.524775238559467
9,2.25,-1137.547449439764,30.456884571656843,-1107.090564868107,4.099755868498933,26.49786732932323
10,2.5,-1137.647900879383,30.55728398150447,-1107.0906168978786,4.081256218826962,26.470958451604204
11,2.75,-1137.7563841342926,30.66573218780185,-1107.0906519464907,4.062811108154379,26.444048596572102
12,3.0,-1137.8722621649504,30.781570887847884,-1107.0906912771025,4.044423395448926,26.417137729549
13,3.25,-1137.9948401153088,30.904103776452004,-1107.0907363388567,4.026096076999544,26.390225793826062
14,3.5,-1138.1233872175217,31.03259395011927,-1107.0907932674024,4.007832280899716,26.363312718826197
15,3.75,-1138.2571002095938,31.16626954305854,-1107.0908306665353,3.9896352593185487,26.336398432927727
16,4.0,-1138.395228073001,31.304333668258433,-1107.0908944047426,3.971508379108473,26.309482879614364
17,4.25,-1138.5369157493114,31.44597167312183,-1107.0909440761895,3.9534551124136366,26.282566027797195
18,4.5,-1138.6813606023788,31.590367053102014,-1107.0909935492768,3.9354790300441356,26.255647872993
19,4.75,-1138.8277530223131,31.73670804319076,-1107.0910449791224,3.9175837909655042,26.228728427480696
20,5.0,-1138.9752910286188,31.884193297102556,-1107.0910977315164,3.899773139896432,26.20180770706089
21,5.25,-1139.1231793761253,32.032035915300185,-1107.0911434608252,3.882050896218768,26.174885720849375
22,5.5,-1139.2706398367882,32.179459442792435,-1107.0911803939957,3.864420956055273,26.147962466022765
23,5.75,-1139.4169357419014,32.32570407201618,-1107.0912316698852,3.8468872815601474,26.121037934229587
24,6.0,-1139.5613216161728,32.47004149289236,-1107.0912801232805,3.829453892289635,26.09411211612175
25,6.25,-1139.7031072974205,32.61178704372377,-1107.0913202536967,3.8121248350710095,26.067185005237857
26,6.5,-1139.841654226184,32.75029271820629,-1107.0913615079776,3.794904143331444,26.040256602100673
27,6.75,-1139.9763356000185,32.88494096834681,-1107.0913946316716,3.7777958652889256,26.013326916422912
28,7.0,-1140.1065794676542,33.015159788472616,-1107.0914196791816,3.7608040297543592,25.98639597109697
29,7.25,-1140.2318897545338,33.14043102140402,-1107.0914587331297,3.7439326064332454,25.9594638061971
30,7.5,-1140.3517627567053,33.260291721492685,-1107.0914710352126,3.7271854917162037,25.932530479811422
31,7.75,-1140.4658365547657,33.37433049065625,-1107.0915060641094,3.710566477920354,25.905596062563227
32,8.0,-1140.573710128665,33.48218625602252,-1107.0915238726425,3.694079251601303,25.87866063243571
33,8.25,-1140.6750957667828,33.583554294286714,-1107.0915414724961,3.6777274031930984,25.851724270982285
34,8.5,-1140.76973721385,33.678183006942476,-1107.0915542069076,3.6615144256852856,25.824787060012223
35,8.75,-1140.8574276268482,33.76587311474553,-1107.0915545121027,3.6454437385167924,25.797849078865383
36,9.0,-1140.938041061163,33.84647832882777,-1107.0915627323352,3.6295186972594924,25.770910401557675
37,9.25,-1141.0114715099335,33.919904861789504,-1107.091566648144,3.6137426047447154,25.743971093062722
38,9.5,-1141.0776807963848,33.98611580199238,-1107.0915649943925,3.598118716964327,25.71703120710803
39,9.75,-1141.1366990357637,34.04513614631552,-1107.0915628894481,3.5826502510027898,25.690090782794563
