step,time_fs,temperature_K,potential_eV,kinetic_eV,total_eV,max_force_eV_A
0,0.0,300.0000000000001,-42.76703542465198,0.3102238921398197,-42.45681153251216,1.2564353210468412e-06
1,0.5,299.78898207288444,-42.766810344566196,0.3100056827976161,-42.45680466176858,0.042126778724054514
2,1.0,299.1566468726662,-42.76615956778815,0.3093517978411204,-42.456807769947034,0.0842979670580775
3,1.5,298.1052228061152,-42.76507056418145,0.3082645416204039,-42.45680602256105,0.1264901873560948
4,2.0,296.63849853082667,-42.763551904412694,0.3067478319091507,-42.456804072503544,0.1686815223351514
5,2.5,294.76182977271765,-42.76161490732397,0.3048072069544914,-42.456807700369474,0.2108383359899304
6,3.0,292.4821366357546,-42.75925587657286,0.3024498226950477,-42.45680605387781,0.252932832535078
7,3.5,289.8078823651492,-42.75649347258495,0.2996844308003853,-42.45680904178457,0.2949356187866075
8,4.0,286.74906545276383,-42.75332800398742,0.29652137050737426,-42.45680663348005,0.336807002878871
9,4.5,283.3172008852161,-42.7497770031502,0.29297254922923627,-42.45680445392097,0.37851547456000956
10,5.0,279.52530352792667,-42.745858009065444,0.28905142537332623,-42.45680658369212,0.42001343662295765
11,5.5,275.3878972767078,-42.74157327265214,0.28477301780460373,-42.456800254847536,0.46125629172465693
12,6.0,270.9210800583512,-42.73695497023514,0.2801539730614179,-42.45680099717372,0.5021773940111938
13,6.5,266.14248965836515,-42.73201492062522,0.27521253001866575,-42.456802390606555,0.5427160746512419
14,7.0,261.0711803648673,-42.72676803887453,0.26996839232775327,-42.45679964654678,0.5828066899006573
15,7.5,255.7275398839517,-42.7212379683721,0.2644426425004682,-42.45679532587163,0.6223901960771703
16,8.0,250.13317808870252,-42.71545675074814,0.2586576268665998,-42.45679912388154,0.6614087226047249
17,8.5,244.31081507906316,-42.70943318512491,0.25263683981892904,-42.45679634530598,0.6997948073203936
18,9.0,238.28417044484314,-42.70319744365162,0.24640480930235806,-42.45679263434926,0.7374849390388641
19,9.5,232.07789847530708,-42.696776629414444,0.23998702981546557,-42.45678959959898,0.7744111257748014
