step,time_fs,potential_eV,kinetic_eV,total_eV,projectile_min_substrate_distance_A,carbon_z_A
0,0.0,-1137.0903943181038,30.0,-1107.0903943181038,4.268313016880698,26.74
1,0.25,-1137.09703476727,30.00665492448739,-1107.0903798427828,4.249424962806886,26.71310094133871
2,0.5,-1137.1152871847153,30.024880838892244,-1107.090406345823,4.230573002290075,26.68620068911011
3,0.75,-1137.144964814186,30.054555844447187,-1107.090408969739,4.211758481226097,26.659299255345207
4,1.0,-1137.1859009712934,30.09548104397884,-1107.0904199273145,4.192982927704719,26.63239665674321
5,1.25,-1137.2378273010254,30.147380665374605,-1107.0904466356508,4.174248054891059,26.60549291681504
6,1.5,-1137.3003824651241,30.209907844579973,-1107.0904746205442,4.155555759378786,26.578588071085985
7,1.75,-1137.3731632828712,30.282652990751835,-1107.0905102921195,4.136908110587535,26.55168216360889
8,2.0,-1137.4556818306446,30.365150988847226,-1107.0905308417973,4.1183073473839,26.52477523856417
9,2.25,-1137.5474483668804,30.456884563520575,-1107.0905638033598,4.099755868125963,26.497867329329203
10,2.5,-1137.6479029655457,30.557283973649294,-1107.0906189918965,4.0812562183981305,26.470958451611256
11,2.75,-1137.7563807666302,30.665732181585305,-1107.0906485850448,4.062811107674029,26.444048596579673
12,3.0,-1137.872261196375,30.78157088490126,-1107.0906903114737,4.044423394923039,26.417137729556718
13,3.25,-1137.9948418140411,30.90410377609666,-1107.0907380379444,4.0260960764017275,26.39022579383346
14,3.5,-1138.1233836710453,31.032593951555377,-1107.09078971949,4.007832280235869,26.363312718833086
15,3.75,-1138.2570993304253,31.16626954580542,-1107.09082978462,3.989635258585846,26.336398432934015
16,4.0,-1138.3952284157276,31.30433367141152,-1107.090894744316,3.9715083782809115,26.309482879619303
17,4.25,-1138.5369117856026,31.44597168655641,-1107.090940099046,3.9534551115078944,26.282566027801252
18,4.5,-1138.681359052658,31.590367080746134,-1107.090991971912,3.9354790290511876,26.255647872995237
19,4.75,-1138.8277491778135,31.736708067567033,-1107.0910411102466,3.9175837898824306,26.228728427480554
20,5.0,-1138.975288912654,31.88419331481157,-1107.0910955978425,3.8997731387239374,26.201807707057903
21,5.25,-1139.1231792271137,32.0320359286288,-1107.091143298485,3.8820508949350647,26.174885720842138
22,5.5,-1139.2706411778927,32.17945945411547,-1107.0911817237773,3.864420954654424,26.14796246601212
23,5.75,-1139.4169357866049,32.325704108301416,-1107.0912316783035,3.846887280048246,26.12103793421488
24,6.0,-1139.5613214671612,32.4700415540553,-1107.0912799131058,3.8294538906668207,26.094112116101762
25,6.25,-1139.7031093239784,32.6117871129931,-1107.0913222109853,3.812124833329311,26.06718500521287
26,6.5,-1139.8416529744864,32.75029279171275,-1107.0913601827735,3.7949041414824016,26.040256602069938
27,6.75,-1139.9763365387917,32.88494104503183,-1107.0913954937598,3.77779586332385,26.01332691638596
28,7.0,-1140.1065781116486,33.01515986582933,-1107.091418245819,3.7608040276872643,25.986395971053614
29,7.25,-1140.23188996315,33.1404310965446,-1107.0914588666055,3.74393260427707,25.959463806145934
30,7.5,-1140.3517647087574,33.26029180261285,-1107.0914729061446,3.727185489470583,25.9325304797531
31,7.75,-1140.4658338576555,33.37433057465168,-1107.091503283004,3.710566475574488,25.905596062500088
32,8.0,-1140.5737083256245,33.48218632464734,-1107.0915220009772,3.694079249140874,25.87866063236729
33,8.25,-1140.6750943511724,33.58355435069868,-1107.0915400004737,3.677727400645927,25.85172427090886
34,8.5,-1140.7697386145592,33.6781830577644,-1107.0915555567947,3.661514423035094,25.82478705993249
35,8.75,-1140.8574295938015,33.7658731684656,-1107.091556425336,3.6454437357727105,25.79784907877934
36,9.0,-1140.938040316105,33.84647839932903,-1107.0915619167758,3.629518694432129,25.77091040146546
37,9.25,-1141.0114691108465,33.91990491538425,-1107.0915641954623,3.613742601863175,25.74397109296452
38,9.5,-1141.07768137753,33.986115840944365,-1107.0915655365857,3.598118714020331,25.717031207005945
39,9.75,-1141.136703580618,34.045136196443906,-1107.091567384174,3.5826502480018343,25.690090782689015
40,10.0,-1141.1886087581515,34.097050529650645,-1107.0915582285008,3.5673403872740153,25.6631498414524
41,10.25,-1141.2335390523076,34.14199341875724,-1107.0915456335504,3.552192281094942,25.636208387685574
42,10.5,-1141.2716725692153,34.180143170973636,-1107.0915293982416,3.537209033191232,25.609266412493398
43,10.75,-1141.3032361418009,34.211718151680145,-1107.0915179901208,3.522393685937919,25.58232389763886
44,11.0,-1141.3284773007035,34.23697828695555,-1107.091499013748,3.5077492031322532,25.555380821121677
45,11.25,-1141.3477128073573,34.25622930860366,-1107.0914834987536,3.4932784548414975,25.528437161404
46,11.5,-1141.3612853884697,34.26982189653604,-1107.0914634919336,3.4789841977204006,25.50149289949236
47,11.75,-1141.3695790991187,34.27814665674141,-1107.0914324423773,3.4648690582483512,25.474548018103015
48,12.0,-1141.3730227127671,34.28162846454551,-1107.0913942482216,3.450935523287454,25.447602499680933
49,12.25,-1141.3721013739705,34.280720646341486,-1107.091380727629,3.4371859371779703,25.420656324180012
50,12.5,-1141.3672300204635,34.27589909199471,-1107.0913309284688,3.4236224977107166,25.393709467522253
51,12.75,-1141.3589767217636,34.26765999748763,-1107.0913167242759,3.410247258697468,25.3667619010843
52,13.0,-1141.3477933183312,34.256513924579856,-1107.0912793937514,3.397062128100972,25.33981359146693
53,13.25,-1141.3342228457332,34.24297996474445,-1107.0912428809888,3.3840688752258097,25.312864500450345
54,13.5,-1141.3187999725342,34.22758529205365,-1107.0912146804806,3.3712691293706882,25.285914583829026
55,13.75,-1141.302039243281,34.21085891032122,-1107.0911803329598,3.358664383984068,25.258963790949696
56,14.0,-1141.2844697088003,34.193322252832175,-1107.0911474559682,3.3462559998513344,25.232012066079577
57,14.25,-1141.2666029036045,34.175485699570245,-1107.0911172040342,3.3340452085385537,25.2050593498821
58,14.5,-1141.2489332258701,34.15784455785407,-1107.091088668016,3.32203311379706,25.1781055822354
59,14.75,-1141.2319370135665,34.14087338895224,-1107.0910636246142,3.3102206990669534,25.151150705653325
60,15.0,-1141.2160614132881,34.12502138470309,-1107.091040028585,3.298608827658692,25.124194670683053
61,15.25,-1141.2017361745238,34.11070742512784,-1107.091028749396,3.287198250682898,25.097237440192938
62,15.5,-1141.1893071383238,34.09831788614104,-1107.0909892521827,3.275989608932945,25.070278988225958
63,15.75,-1141.179182201624,34.08820994464821,-1107.0909722569756,3.264983437742724,25.04331929775276
64,16.0,-1141.171659849584,34.08070641884106,-1107.090953430743,3.2541801705435187,25.016358356672395
65,16.25,-1141.1670309975743,34.07609140342643,-1107.0909395941478,3.2435801399795814,24.989396156191045
66,16.5,-1141.1655321195722,34.07461061769708,-1107.090921501875,3.233183580387948,24.962432690216357
67,16.75,-1141.1673792898655,34.07646527702398,-1107.0909140128415,3.2229906352305155,24.935467959361166
68,17.0,-1141.172728203237,34.08181140854744,-1107.0909167946895,3.2130013557940056,24.908501973008093
69,17.25,-1141.1816663593054,34.090767237917525,-1107.0908991213878,3.2032157049305376,24.881534740926796
70,17.5,-1141.1943090558052,34.10341397123805,-1107.0908950845671,3.193633560962844,24.85456626254365
71,17.75,-1141.2106821015477,34.119787445792056,-1107.0908946557556,3.184254722387764,24.827596518797733
72,18.0,-1141.2307786419988,34.13987389094902,-1107.0909047510497,3.1750789144156855,24.800625467613738
73,18.25,-1141.254519984126,34.16360833081446,-1107.0909116533117,3.1661057986288457,24.77365304455595
74,18.5,-1141.2818079292774,34.19087848553549,-1107.090929443742,3.1573349789528646,24.746679172773337
75,18.75,-1141.3124654516578,34.2215284178612,-1107.0909370337965,3.1487660067186356,24.71970377026763
76,19.0,-1141.3463185578585,34.2553593557337,-1107.0909592021248,3.1403983842356276,24.69272675452139
77,19.25,-1141.3831052482128,34.2921305231761,-1107.0909747250366,3.132231561610888,24.665748044617786
78,19.5,-1141.4225445613265,34.331563014330726,-1107.0909815469959,3.1242649442055117,24.638767561611882
79,19.75,-1141.464364208281,34.37334749716427,-1107.0910167111167,3.1164978958105474,24.61178523063952
80,20.0,-1141.508179999888,34.41715023315413,-1107.0910297667338,3.1089297413598223,24.584800983478097
81,20.25,-1141.5536736696959,34.46261547451249,-1107.0910581951835,3.101559769740985,24.557814754227046
82,20.5,-1141.6004473939538,34.509367335732385,-1107.0910800582215,3.094387249194545,24.530826473410304
83,20.75,-1141.648107431829,34.55700715842492,-1107.091100273404,3.087411419109493,24.50383606391027
84,21.0,-1141.6962540969253,34.605115545690026,-1107.0911385512352,3.08063151700837,24.476843438631413
85,21.25,-1141.744423493743,34.65325654507751,-1107.0911669486654,3.0740467908722793,24.449848499491686
86,21.5,-1141.7921587005258,34.700980631103846,-1107.0911780694219,3.067656531754074,24.422851139578295
87,21.75,-1141.8390546962619,34.74784740691323,-1107.0912072893486,3.061460084462272,24.39585124774412
88,22.0,-1141.8846856355667,34.79344417342574,-1107.091241462141,3.0554568092694128,24.368848715167903
89,22.25,-1141.928640089929,34.837385312357604,-1107.0912547775715,3.0496460461732915,24.34184344184863
90,22.5,-1141.9705861732364,34.87931162922601,-1107.0912745440103,3.044027106229229,24.31483533944152
91,22.75,-1142.0101887509227,34.91889263503677,-1107.0912961158858,3.03859927366499,24.28782433167899
92,23.0,-1142.0471230745316,34.955815911847075,-1107.0913071626844,3.033361827806474,24.2608103530966
93,23.25,-1142.0810893699527,34.989751267545486,-1107.0913381024072,3.0283140849068806,24.23379335161251
94,23.5,-1142.1117182299495,35.020365047944914,-1107.0913531820045,3.0234554151937845,24.206773398876642
95,23.75,-1142.1387898474932,35.04744086921043,-1107.0913489782827,3.0187852551368435,24.1797506426456
96,24.0,-1142.1622669026256,35.07091357397858,-1107.091353328647,3.0143031192954606,24.152724966630863
97,24.25,-1142.18209104985,35.090737745070015,-1107.09135330478,3.010008612240087,24.125695884855492
98,24.5,-1142.1981726512313,35.1068000707994,-1107.0913725804319,3.005901431907913,24.09866271107104
99,24.75,-1142.2103169187903,35.11892905106414,-1107.091387867726,3.001981372186334,24.071624775063544
100,25.0,-1142.2183493450284,35.1269532080578,-1107.0913961369706,2.9982483242460156,24.04458157365009
101,25.25,-1142.2221474349499,35.13075973479675,-1107.091387700153,2.9947022817150994,24.017532782258492
102,25.5,-1142.2216982841492,35.1303024664111,-1107.091395817738,2.9913433469579607,23.990478201870047
103,25.75,-1142.21698898077,35.12559731068632,-1107.0913916700838,2.988171733066577,23.96341774958133
104,26.0,-1142.208099834621,35.11670862453487,-1107.0913912100862,2.9851877692577213,23.936351442800174
105,26.25,-1142.1951237544417,35.10373772828598,-1107.0913860261558,2.9823919047332508,23.909279396155167
106,26.5,-1142.1781791448593,35.08682271756239,-1107.091356427297,2.979784708789508,23.88220181485465
107,26.75,-1142.1574881449342,35.06613581258676,-1107.0913523323475,2.9773668711481185,23.855118994586935
108,27.0,-1142.1332267448306,35.041884520697664,-1107.0913422241329,2.9751392030149595,23.828031307208406
109,27.25,-1142.1056287065148,35.01430708942375,-1107.0913216170911,2.9731026358522703,23.800939181934837
110,27.5,-1142.0749640092254,34.9836680057864,-1107.0912960034389,2.9712582204592612,23.773843094848516
111,27.75,-1142.0415346994996,34.950254819535715,-1107.0912798799638,2.9696071182861243,23.746743559084432
112,28.0,-1142.0056406334043,34.91437153304227,-1107.091269100362,2.9681505971054145,23.719641115657335
113,28.25,-1141.9675737544894,34.87633450588062,-1107.0912392486089,2.96689002044792,23.692536326538892
114,28.5,-1141.9276907444,34.83646327843633,-1107.0912274659636,2.965826840450812,23.665429770334335
115,28.75,-1141.886277101934,34.7950757492835,-1107.0912013526504,2.9649625871625345,23.638322037428214
116,29.0,-1141.8436766043305,34.752490732852195,-1107.0911858714783,2.964298863479932,23.61121371953355
117,29.25,-1141.8001952543855,34.70903125625195,-1107.0911639981334,2.9638373394187325,23.584105420980976
118,29.5,-1141.7561593204737,34.665016000354356,-1107.0911433201193,2.9635797497322205,23.55699778601069
119,29.75,-1141.7118833139539,34.620752234011114,-1107.0911310799427,2.9635278833482066,23.5298915185312
120,30.0,-1141.667654722929,34.57656726486879,-1107.0910874580602,2.9636835638799366,23.50278733445999
121,30.25,-1141.6239242181182,34.53285478726761,-1107.0910694308507,2.964048640338633,23.475685823499614
122,30.5,-1141.5810819789767,34.4900294393761,-1107.0910525396007,2.9613845022917036,23.44858721851898
123,30.75,-1141.5394270643592,34.448379622507375,-1107.0910474418517,2.947142550748448,23.421491402426888
124,31.0,-1141.4990780502558,34.408024993568404,-1107.0910530566873,2.93308760242797,23.394398262086185
125,31.25,-1141.4600708670914,34.36902270387631,-1107.0910481632152,2.919223306519771,23.36730783551099
126,31.5,-1141.422457396984,34.331425252351806,-1107.0910321446322,2.9055533689055384,23.34022024064546
127,31.75,-1141.3863812536001,34.295352568758375,-1107.0910286848418,2.885922124685979,23.313135654202277
128,32.0,-1141.3519655317068,34.260949285423266,-1107.0910162462835,2.8601199071377743,23.286054141604133
129,32.25,-1141.3193183392286,34.22829280604111,-1107.0910255331876,2.834366107411913,23.258975785682868
130,32.5,-1141.288434177637,34.1974111122274,-1107.0910230654097,2.808663512264319,23.23190070491871
131,32.75,-1141.2593112438917,34.16828269899328,-1107.0910285448983,2.783015018337334,23.204829072498857
132,33.0,-1141.2318831980228,34.14084711725223,-1107.0910360807707,2.7574236382481536,23.17776111421868
133,33.25,-1141.2060473412275,34.11500052692069,-1107.0910468143068,2.7318925070768816,23.150697114102442
134,33.5,-1141.1816724836826,34.09060323685428,-1107.0910692468283,2.706424924552597,23.12363745343541
135,33.75,-1141.1585656255484,34.067493961783164,-1107.0910716637652,2.681024360381231,23.096582612058224
136,34.0,-1141.1366087719798,34.04551769509565,-1107.0910910768841,2.6556944409206573,23.069533144964282
137,34.25,-1141.115626849234,34.02453382030093,-1107.091093028933,2.6304388329880255,23.042489562835
138,34.5,-1141.095487035811,34.004378135227014,-1107.091108900584,2.60526121424931,23.01545228745245
139,34.75,-1141.0759432688355,33.9848225817828,-1107.0911206870528,2.580165347603483,22.98842171092856
140,35.0,-1141.0567205622792,33.965556125204074,-1107.0911644370751,2.555155190044316,22.961398302132867
141,35.25,-1141.0373890027404,33.94620791201524,-1107.091181090725,2.530235014968291,22.934382731987288
142,35.5,-1141.0176040753722,33.9263927106482,-1107.0912113647241,2.505409373811801,22.907375839706404
143,35.75,-1140.9969831258059,33.905758218551924,-1107.091224907254,2.480683058183582,22.880378595384943
144,36.0,-1140.9752554669976,33.884013771322024,-1107.0912416956755,2.4560610798602895,22.853392070838552
145,36.25,-1140.952174730599,33.860898978524176,-1107.0912757520748,2.4315485801139,22.826417343322664
146,36.5,-1140.9274108335376,33.83612722759869,-1107.091283605939,2.4071508167341578,22.79945548311549
147,36.75,-1140.900692090392,33.80937479390785,-1107.0913172964842,2.382873181648998,22.772507583122763
148,37.0,-1140.8716277107596,33.78029040110302,-1107.0913373096566,2.3587211958349332,22.745574751250327
149,37.25,-1140.8398605510592,33.74848461335709,-1107.0913759377022,2.3347005389759867,22.718658147020328
150,37.5,-1140.8049544021487,33.71355374459754,-1107.0914006575513,2.31081711026085,22.691759043639017
151,37.75,-1140.7665544524789,33.675130839043845,-1107.091423613435,2.287077038169801,22.6648788381562
152,38.0,-1140.7243460416794,33.6328962268301,-1107.0914498148493,2.263486616441417,22.63801897463943
153,38.25,-1140.6780551597476,33.58658492471873,-1107.091470235029,2.240052243214103,22.611180877455514
154,38.5,-1140.6274470984936,33.535967454025084,-1107.0914796444686,2.21678035298965,22.58436586813548
155,38.75,-1140.5723146274686,33.480796869286834,-1107.0915177581817,2.1936774670950903,22.55757519718612
156,39.0,-1140.5123213678598,33.4207922186519,-1107.0915291492079,2.1707503220334208,22.530810170091563
157,39.25,-1140.447198316455,33.35564513916375,-1107.0915531772912,2.1480059667859286,22.504072244076955
158,39.5,-1140.376614779234,33.28501876141129,-1107.0915960178227,2.1254518471374455,22.477363088558572
159,39.75,-1140.3001932650805,33.20858529282048,-1107.09160797226,2.1030958635374275,22.45068461681952
160,40.0,-1140.217723235488,33.126087943061265,-1107.0916352924266,2.080946409169684,22.42403900905863
161,40.25,-1140.1289764940739,33.03732183937739,-1107.0916546546964,2.0590123406224534,22.39742869761098
162,40.5,-1140.03378033638,32.94209255378301,-1107.091687782597,2.0373029661229287,22.370856356414322
163,40.75,-1139.9319342151284,32.84023382189845,-1107.09170039323,2.0158280627876928,22.344324903599812
164,41.0,-1139.8233549967408,32.7316580195181,-1107.0916969772227,1.99459783622247,22.317837441716442
165,41.25,-1139.7080732882023,32.61637091419537,-1107.091702374007,1.9736227977511613,22.291397131353907
166,41.5,-1139.586132220924,32.49442590868318,-1107.0917063122406,1.952913709697866,22.265007141805693
167,41.75,-1139.457620754838,32.365899903282724,-1107.0917208515552,1.9324816272756915,22.238670750064216
168,42.0,-1139.3226089701056,32.230896445828385,-1107.0917125242772,1.9123379125591287,22.212391397847327
169,42.25,-1139.1812638565898,32.08954991255724,-1107.0917139440326,1.8924942421526993,22.1861727624661
170,42.5,-1139.033756531775,31.94206224922784,-1107.0916942825472,1.8729625386686282,22.160018766820613
171,42.75,-1138.8804390579462,31.788765327628603,-1107.0916737303176,1.8537548156601593,22.13393351896732
172,43.0,-1138.7217849865556,31.630134363939817,-1107.0916506226158,1.834882928476577,22.107921158492687
173,43.25,-1138.5583518743515,31.466743753395257,-1107.0916081209562,1.816358436841119,22.081985769887883
174,43.5,-1138.3908145800233,31.299239174329905,-1107.0915754056934,1.7981925244191075,22.05613135734926
175,43.75,-1138.2198602035642,31.128331266595687,-1107.0915289369684,1.7803959010468446,22.03036180373758
176,44.0,-1138.0462670251727,30.9547929890553,-1107.0914740361175,1.762978715399951,22.00468085923725
177,44.25,-1137.8708693310618,30.779450569588242,-1107.0914187614735,1.74595053668333,21.979092170512054
178,44.5,-1137.6945405080914,30.603176414200014,-1107.0913640938913,1.7293203607092669,21.953599323142146
179,44.75,-1137.5182268843055,30.426894462378662,-1107.0913324219268,1.7130966341871072,21.928205883511556
180,45.0,-1137.3428418561816,30.25157916195552,-1107.091262694226,1.6972872216248935,21.902915427217675
181,45.25,-1137.1694266274571,30.07823141825964,-1107.0911952091974,1.6818993419512054,21.87773154471388
182,45.5,-1136.9989984109998,29.907858624649133,-1107.0911397863506,1.6669396056675323,21.852657892243652
183,45.75,-1136.832560390234,29.7414827721024,-1107.0910776181315,1.6524140622283443,21.827698231736367
184,46.0,-1136.6711683943868,29.58015342684105,-1107.0910149675458,1.6383281813541808,21.802856448241265
185,46.25,-1136.5159203186631,29.42496485765322,-1107.0909554610098,1.624686773866223,21.778136534995213
186,46.5,-1136.3679077252746,29.277015491631502,-1107.090892233643,1.6114939143845743,21.753542577028078
187,46.75,-1136.228143684566,29.137305726780646,-1107.0908379577854,1.598752928630867,21.729078769933796
188,47.0,-1136.0974750593305,29.006669871652896,-1107.0908051876775,1.586466432690743,21.70474945370864
189,47.25,-1135.9765340909362,28.885763312259023,-1107.090770778677,1.5746364166729638,21.68055915481704
190,47.5,-1135.8658438548446,28.77509363747929,-1107.0907502173652,1.5632642342664815,21.656512580987062
191,47.75,-1135.7657427564263,28.675007036203617,-1107.0907357202227,1.5523505298697222,21.632614577176362
192,48.0,-1135.6763980165124,28.585629556601635,-1107.0907684599108,1.5418952473471703,21.60887012603132
193,48.25,-1135.5976721271873,28.5068746386661,-1107.090797488521,1.5318975349036519,21.585284308225695
194,48.5,-1135.5292982384562,28.438478229254414,-1107.090820009202,1.5223557420092946,21.561862296189606
195,48.75,-1135.4708775952458,28.379999794510493,-1107.0908778007354,1.5132674462172278,21.53860936394398
196,49.0,-1135.421742103994,28.330824592285463,-1107.0909175117085,1.5046295250943598,21.51553090816238
197,49.25,-1135.3811514601111,28.29015314385538,-1107.0909983162558,1.4964381629984391,21.49263243727086
198,49.5,-1135.348070025444,28.25699305663036,-1107.0910769688137,1.4886888027654588,21.469919528806585
199,49.75,-1135.321347348392,28.230185960850136,-1107.091161387542,1.481376170829855,21.447397814350346
200,50.0,-1135.2997032627463,28.208449164512363,-1107.091254098234,1.474494299085193,21.425072967895222
