step,time_fs,potential_eV,kinetic_eV,total_eV,projectile_min_substrate_distance_A,carbon_z_A
0,0.0,-1137.0903761982918,30.0,-1107.0903761982918,4.268313016880698,26.74
1,0.25,-1137.0970187187195,30.006654923794876,-1107.0903637949245,4.249424962897739,26.713100941337913
2,0.5,-1137.1152721345425,30.02488083016619,-1107.0903913043762,4.230573002489012,26.686200689106645
3,0.75,-1137.1449507772923,30.054555823944,-1107.0903949533483,4.211758481596578,26.659299255338233
4,1.0,-1137.1858794391155,30.095481011692854,-1107.0903984274228,4.192982928132721,26.63239665673385
5,1.25,-1137.2378117740154,30.14738061605165,-1107.0904311579638,4.174248055393929,26.605492916802266
6,1.5,-1137.3003619611263,30.20990777318249,-1107.0904541879438,4.155555760034206,26.578588071068857
7,1.75,-1137.3731435835361,30.282652896708825,-1107.0904906868273,4.1369081114436534,26.551682163586385
8,2.0,-1137.4556621015072,30.365150872004406,-1107.0905112295027,4.118307348479344,26.524775238533856
9,2.25,-1137.5474365204573,30.456884415724574,-1107.0905521047328,4.09975586942423,26.497867329289114
10,2.5,-1137.6478841900826,30.557283800764484,-1107.090600389318,4.081256220131312,26.47095845156149
11,2.75,-1137.7563638687134,30.665731989428124,-1107.0906318792852,4.062811109878841,26.444048596519107
12,3.0,-1137.872247889638,30.78157065028791,-1107.09067723935,4.044423397706115,26.41713772948563
13,3.25,-1137.9948277771473,30.904103482865192,-1107.0907242942822,4.026096079769127,26.39022579375148
14,3.5,-1138.12337115407,31.032593612438475,-1107.0907775416315,4.007832284198803,26.36331271873853
15,3.75,-1138.2570820301771,31.166269159323406,-1107.0908128708538,3.989635263143431,26.336398432827444
16,4.0,-1138.3952107429504,31.304333229234857,-1107.0908775137157,3.9715083835258587,26.309482879500997
17,4.25,-1138.5368986874819,31.445971203726238,-1107.0909274837556,3.953455117505863,26.282566027671493
18,4.5,-1138.6813406050205,31.590366567733042,-1107.0909740372874,3.935479035692626,26.255647872851405
19,4.75,-1138.8277296423912,31.736707531118114,-1107.091022111273,3.9175837972091654,26.228728427318256
20,5.0,-1138.9752752780914,31.884192735014715,-1107.0910825430767,3.899773146751098,26.201807706876856
21,5.25,-1139.123154014349,32.032035280856874,-1107.091118733492,3.8820509037480955,26.17488572064066
22,5.5,-1139.2706198841333,32.17945876375222,-1107.091161120381,3.86442096429281,26.147962465787874
23,5.75,-1139.4169183373451,32.32570339316761,-1107.0912149441774,3.8468872905379947,26.12103793396534
24,6.0,-1139.5613014698029,32.470040809323486,-1107.0912606604793,3.8294539020888756,26.0941121158303
