step,time_fs,temperature_K,potential_eV,kinetic_eV,total_eV,max_force_eV_A
0,0.0,300.0000000000001,-42.76703542465198,0.3102238921398197,-42.45681153251216,1.4952808982432728e-06
1,0.5,299.78898122627055,-42.766810344567716,0.3100056819221499,-42.45680466264557,0.042126953264671814
2,1.0,299.15664701546854,-42.76615956778865,0.30935179798878937,-42.45680776979986,0.0842982358666857
3,1.5,298.10522198944216,-42.76507003552136,0.308264540775899,-42.45680549474546,0.12648987042257048
4,2.0,296.6384967736717,-42.7635534908928,0.30674783009211254,-42.45680566080068,0.16868120321235508
5,2.5,294.76183129577834,-42.76161437848931,0.3048072085294575,-42.45680716995985,0.21083808908117022
6,3.0,292.48214072272106,-42.75925534837259,0.3024498269212965,-42.456805521451294,0.25293277757658805
7,3.5,289.807887119596,-42.75649400128751,0.2996844357168619,-42.456809565570644,0.2949355357041376
8,4.0,286.7490752634994,-42.75332853362285,0.29652138065245615,-42.45680715297039,0.3368064524403646
9,4.5,283.3172125741629,-42.749777002194975,0.2929725613165382,-42.456804440878436,0.3785160476957606
10,5.0,279.5253110848613,-42.74585906610575,0.28905143318779847,-42.45680763291795,0.4200138769874176
11,5.5,275.38789952098466,-42.74157432880101,0.28477302012536476,-42.456801308675644,0.4612571744805971
12,6.0,270.9210818281321,-42.736953970668736,0.28015397489151234,-42.456799995777224,0.5021764406033241
13,6.5,266.1424949441271,-42.73201386216229,0.2752125354845646,-42.45680132667773,0.5427159815638786
14,7.0,261.0711819049387,-42.72676856703044,0.2699683939203098,-42.45680017311013,0.5828081334195908
15,7.5,255.727533359565,-42.72123690945749,0.2644426357537327,-42.45679427370376,0.6223918779118955
16,8.0,250.13316731996832,-42.71545463382951,0.25865761573087104,-42.45679701809864,0.6614085820595661
17,8.5,244.31080484383133,-42.70943529797449,0.2526368292348842,-42.456798468739606,0.6997946879803324
18,9.0,238.28416268490508,-42.70319802955814,0.24640480127796408,-42.456793228280176,0.7374848605388293
